TWT;228692;;
JobId;MachineId;Start;Completion
15;0;0;71
85;2;0;13
58;3;0;3
44;4;0;20
51;1;1;2
48;3;9;27
72;2;14;41
17;1;16;58
31;4;25;75
64;3;31;92
47;2;49;56
22;0;72;114
68;1;73;78
40;4;76;84
2;2;78;86
59;4;84;85
4;1;87;104
70;4;93;115
87;3;94;127
13;2;96;135
35;1;108;133
16;4;117;127
50;0;125;140
67;3;128;199
74;4;131;145
86;2;141;183
33;4;147;171
25;1;148;155
92;0;149;177
46;1;159;245
6;4;174;200
79;0;178;232
3;2;197;208
54;3;203;212
83;3;212;213
99;2;215;287
69;4;215;227
78;3;221;248
37;4;228;267
98;1;251;288
89;3;256;347
84;0;270;279
100;2;288;356
75;4;288;325
12;0;297;321
10;1;305;326
27;0;329;365
88;1;329;415
43;4;336;374
29;3;354;377
95;2;362;374
41;0;365;375
65;0;379;448
97;4;384;405
5;3;384;416
32;2;385;468
42;3;417;455
8;4;420;455
1;1;428;476
73;4;459;534
61;3;462;515
66;0;467;542
36;2;485;541
28;1;487;548
23;0;542;570
38;4;550;620
14;2;551;612
96;3;570;649
21;0;573;615
7;1;612;667
56;0;616;669
71;2;623;722
9;4;630;668
52;3;659;740
57;0;675;761
63;1;680;769
80;2;730;796
18;4;730;803
60;0;765;861
11;1;771;816
93;4;809;898
55;3;816;862
24;2;816;862
62;0;868;910
77;2;873;949
76;3;876;942
90;0;912;946
19;0;947;1030
82;2;956;1039
45;0;1040;1102
94;2;1116;1212
26;3;1315;1391
91;3;1395;1472
34;0;1420;1463
39;4;1472;1523
81;1;1562;1594
20;2;1594;1642
53;4;1642;1690
30;1;1703;1802
49;0;1802;1892
